Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.05,Accuracy,0.8809523809523809,0.8809523809523809
0.05,Recall,0.9375,0.7
0.05,Precision,0.9090909090909091,0.7777777777777778
0.05,TSS,0.6375,0.6375
0.05,HSS,0.6601941747572816,0.6601941747572816
0.05,FAR,0.09090909090909091,0.2222222222222222
0.05,FPR,0.3,0.0625
0.1,Accuracy,0.8095238095238095,0.8095238095238095
0.1,Recall,0.96875,0.3
0.1,Precision,0.8157894736842105,0.75
0.1,TSS,0.26875000000000004,0.26875
0.1,HSS,0.33858267716535434,0.33858267716535434
0.1,FAR,0.18421052631578946,0.25
0.1,FPR,0.7,0.03125
0.15000000000000002,Accuracy,0.8333333333333334,0.8333333333333334
0.15000000000000002,Recall,1.0,0.3
0.15000000000000002,Precision,0.8205128205128205,1.0
0.15000000000000002,TSS,0.30000000000000004,0.3
0.15000000000000002,HSS,0.3950617283950617,0.3950617283950617
0.15000000000000002,FAR,0.1794871794871795,0.0
0.15000000000000002,FPR,0.7,0.0
0.2,Accuracy,0.8095238095238095,0.8095238095238095
0.2,Recall,1.0,0.2
0.2,Precision,0.8,1.0
0.2,TSS,0.19999999999999996,0.2
0.2,HSS,0.27586206896551724,0.27586206896551724
0.2,FAR,0.2,0.0
0.2,FPR,0.8,0.0
0.25,Accuracy,0.8095238095238095,0.8095238095238095
0.25,Recall,1.0,0.2
0.25,Precision,0.8,1.0
0.25,TSS,0.19999999999999996,0.2
0.25,HSS,0.27586206896551724,0.27586206896551724
0.25,FAR,0.2,0.0
0.25,FPR,0.8,0.0
0.3,Accuracy,0.8095238095238095,0.8095238095238095
0.3,Recall,1.0,0.2
0.3,Precision,0.8,1.0
0.3,TSS,0.19999999999999996,0.2
0.3,HSS,0.27586206896551724,0.27586206896551724
0.3,FAR,0.2,0.0
0.3,FPR,0.8,0.0
0.35000000000000003,Accuracy,0.8095238095238095,0.8095238095238095
0.35000000000000003,Recall,1.0,0.2
0.35000000000000003,Precision,0.8,1.0
0.35000000000000003,TSS,0.19999999999999996,0.2
0.35000000000000003,HSS,0.27586206896551724,0.27586206896551724
0.35000000000000003,FAR,0.2,0.0
0.35000000000000003,FPR,0.8,0.0
0.4,Accuracy,0.8095238095238095,0.8095238095238095
0.4,Recall,1.0,0.2
0.4,Precision,0.8,1.0
0.4,TSS,0.19999999999999996,0.2
0.4,HSS,0.27586206896551724,0.27586206896551724
0.4,FAR,0.2,0.0
0.4,FPR,0.8,0.0
0.45,Accuracy,0.8095238095238095,0.8095238095238095
0.45,Recall,1.0,0.2
0.45,Precision,0.8,1.0
0.45,TSS,0.19999999999999996,0.2
0.45,HSS,0.27586206896551724,0.27586206896551724
0.45,FAR,0.2,0.0
0.45,FPR,0.8,0.0
0.5,Accuracy,0.7857142857142857,0.7857142857142857
0.5,Recall,1.0,0.1
0.5,Precision,0.7804878048780488,0.9999999999999998
0.5,TSS,0.09999999999999998,0.1
0.5,HSS,0.14479638009049775,0.14479638009049775
0.5,FAR,0.21951219512195122,0.0
0.5,FPR,0.9,0.0
0.55,Accuracy,0.7857142857142857,0.7857142857142857
0.55,Recall,1.0,0.1
0.55,Precision,0.7804878048780488,0.9999999999999998
0.55,TSS,0.09999999999999998,0.1
0.55,HSS,0.14479638009049775,0.14479638009049775
0.55,FAR,0.21951219512195122,0.0
0.55,FPR,0.9,0.0
0.6000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.6000000000000001,Recall,1.0,0.1
0.6000000000000001,Precision,0.7804878048780488,0.9999999999999998
0.6000000000000001,TSS,0.09999999999999998,0.1
0.6000000000000001,HSS,0.14479638009049775,0.14479638009049775
0.6000000000000001,FAR,0.21951219512195122,0.0
0.6000000000000001,FPR,0.9,0.0
0.6500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.6500000000000001,Recall,1.0,0.1
0.6500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.6500000000000001,TSS,0.09999999999999998,0.1
0.6500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.6500000000000001,FAR,0.21951219512195122,0.0
0.6500000000000001,FPR,0.9,0.0
0.7000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.7000000000000001,Recall,1.0,0.1
0.7000000000000001,Precision,0.7804878048780488,0.9999999999999998
0.7000000000000001,TSS,0.09999999999999998,0.1
0.7000000000000001,HSS,0.14479638009049775,0.14479638009049775
0.7000000000000001,FAR,0.21951219512195122,0.0
0.7000000000000001,FPR,0.9,0.0
0.7500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.7500000000000001,Recall,1.0,0.1
0.7500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.7500000000000001,TSS,0.09999999999999998,0.1
0.7500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.7500000000000001,FAR,0.21951219512195122,0.0
0.7500000000000001,FPR,0.9,0.0
0.8,Accuracy,0.7857142857142857,0.7857142857142857
0.8,Recall,1.0,0.1
0.8,Precision,0.7804878048780488,0.9999999999999998
0.8,TSS,0.09999999999999998,0.1
0.8,HSS,0.14479638009049775,0.14479638009049775
0.8,FAR,0.21951219512195122,0.0
0.8,FPR,0.9,0.0
0.8500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.8500000000000001,Recall,1.0,0.1
0.8500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.8500000000000001,TSS,0.09999999999999998,0.1
0.8500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.8500000000000001,FAR,0.21951219512195122,0.0
0.8500000000000001,FPR,0.9,0.0
0.9000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.9000000000000001,Recall,1.0,0.1
0.9000000000000001,Precision,0.7804878048780488,0.9999999999999998
0.9000000000000001,TSS,0.09999999999999998,0.1
0.9000000000000001,HSS,0.14479638009049775,0.14479638009049775
0.9000000000000001,FAR,0.21951219512195122,0.0
0.9000000000000001,FPR,0.9,0.0
0.9500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.9500000000000001,Recall,1.0,0.1
0.9500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.9500000000000001,TSS,0.09999999999999998,0.1
0.9500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.9500000000000001,FAR,0.21951219512195122,0.0
0.9500000000000001,FPR,0.9,0.0
