T_REC,noaaID,Class,one,MPlus,y_true
20230424,13285.0,C,0.353,0.03456,0
20230429,13291.0,N,0.206,0.0,0
20230430,13292.0,N,0.516,0.0,0
20230430,13291.0,N,0.202,0.002,0
20230507,13299.0,N,0.384,0.0119,0
20230508,13299.0,N,0.257,0.00723,0
20230509,13299.0,C,0.199,0.00183,0
20230523,13311.0,M,0.658,0.008,1
20230526,13315.0,M,0.62,0.09616,1
20230527,13315.0,C,0.746,0.12049,0
20230529,13316.0,N,0.199,0.00243,0
20230530,13316.0,N,0.171,0.0,0
20230603,13323.0,C,0.539,0.0908,0
20230605,13326.0,N,0.272,0.0,0
20230607,13327.0,M,0.586,0.152,1
20230610,13331.0,N,0.323,0.019,0
20230611,13331.0,C,0.299,0.01699,0
20230611,13332.0,N,0.142,0.0,0
20230612,13331.0,C,0.262,0.0135,0
20230612,13332.0,N,0.139,0.0032,0
20230617,13334.0,N,0.159,0.0,0
20230618,13338.0,N,0.348,0.03329,0
20230623,13345.0,N,0.201,0.0,0
20230624,13345.0,N,0.158,0.00363,0
20230626,13351.0,C,0.246,0.002,0
20230627,13348.0,N,0.16,0.001,0
20230627,13351.0,C,0.331,0.0,0
20230630,13355.0,N,0.207,0.00066,0
20230701,13354.0,C,0.955,0.217,0
20230701,13355.0,N,0.19,0.0034,0
20230705,13360.0,C,0.28,0.0,0
20230709,13366.0,C,0.558,0.0,0
20230712,13367.0,N,0.467,0.047,0
20230714,13372.0,C,0.758,0.22413,0
20230715,13372.0,M,0.779,0.0317,1
20230717,13374.0,N,0.225,0.0,0
20230718,13374.0,N,0.17,0.0,0
20230722,13379.0,N,0.572,0.034,0
20230812,13397.0,C,0.235,0.0025,0
20230812,13399.0,N,0.168,0.0055,0
20230818,13408.0,N,0.318,0.0,0
20230821,13412.0,N,0.262,0.003,0
20230822,13412.0,N,0.246,0.0,0
20230825,13415.0,M,0.512,0.10816,1
20230826,13415.0,N,0.486,0.08736,0
20230828,13416.0,C,0.26,0.00366,0
20230829,13416.0,N,0.26,0.0,0
20230831,13417.0,N,0.496,0.0217,0
20230902,13418.0,N,0.219,0.0,0
20230903,13418.0,N,0.159,0.0,0
20230905,13421.0,M,0.33,0.0055,1
20230909,13423.0,C,0.361,0.03449,0
20230909,13425.0,C,0.472,0.0317,0
20230910,13425.0,C,0.453,0.0838,0
20230915,13433.0,C,0.311,0.00233,0
20230916,13430.0,N,0.271,0.0055,0
20230916,13433.0,N,0.285,0.0,0
20230917,13434.0,N,0.558,0.0,0
20230917,13433.0,N,0.236,0.0,0
20230921,13440.0,N,0.276,0.003,0
20230925,13446.0,N,0.127,0.0032,0
20230926,13445.0,C,0.412,0.0838,0
20230930,13450.0,C,0.514,0.0716,0
20231001,13450.0,C,0.645,0.1096,0
20231013,13466.0,C,0.211,0.00243,0
20231014,13466.0,N,0.221,0.00789,0
20231015,13460.0,N,0.303,0.0225,0
20231015,13466.0,N,0.216,0.0217,0
20231017,13467.0,N,0.198,0.00789,0
20231019,13468.0,N,0.301,0.01013,0
20231020,13468.0,N,0.279,0.005,0
20231021,13468.0,N,0.24,0.0,0
20231024,13470.0,N,0.208,0.0032,0
20231025,13471.0,N,0.195,0.0014,0
20231027,13471.0,N,0.276,0.0217,0
20231030,13474.0,C,0.451,0.0685,0
20231101,13474.0,N,0.652,0.12049,0
20231103,13477.0,N,0.49,0.05599,0
20231106,13480.0,C,0.526,0.04726,0
20231107,13480.0,C,0.36,0.003,0
20231108,13482.0,N,0.128,0.0032,0
20231110,13483.0,C,0.318,0.03906,0
20231121,13489.0,C,0.777,0.082,0
20231124,13494.0,C,0.453,0.135,0
20231127,13500.0,C,0.623,0.001,0
20231129,13503.0,N,0.177,0.0,0
20231201,13508.0,N,0.293,0.00666,0
20231202,13508.0,N,0.309,0.0,0
20231203,13508.0,N,0.297,0.001,0
20231209,13514.0,N,0.263,0.00763,0
20231210,13514.0,N,0.231,0.0,0
20231211,13514.0,C,0.21,0.002,0
20231211,13516.0,C,0.31,0.0109,0
20231212,13516.0,N,0.27,0.0109,0
20231216,13519.0,N,0.274,0.0045,0
20231223,13531.0,N,0.355,0.0,0
20231225,13533.0,C,0.227,0.00183,0
20231226,13531.0,N,0.276,0.0125,0
20231226,13533.0,N,0.19,0.0,0
20231227,13533.0,N,0.171,0.00183,0
20231230,13534.0,C,0.298,0.009,0
20231231,13534.0,N,0.334,0.01423,0
20240101,13534.0,N,0.238,0.0119,0
20240103,13536.0,C,0.901,0.1096,0
20240110,13541.0,N,0.349,0.037,0
20240110,13544.0,N,0.126,0.0034,0
20240112,13546.0,N,0.405,0.1052,0
20240116,13553.0,C,0.389,0.021,0
20240211,13581.0,N,0.253,0.0,0
20240213,13584.0,N,0.356,0.00233,0
20240214,13584.0,C,0.314,0.0,0
20240218,13586.0,N,0.36,0.0035,0
20240219,13587.0,N,0.172,0.00183,0
20240222,13590.0,X,0.838,0.46313,1
20240223,13590.0,M,0.899,0.4111,1
20240224,13590.0,M,0.931,0.615,1
20240226,13594.0,N,0.227,0.0217,0
20240229,13596.0,C,0.367,0.01523,0
20240301,13597.0,N,0.196,0.0055,0
20240302,13598.0,C,0.309,0.0,0
20240302,13596.0,N,0.217,0.0025,0
20240304,13598.0,C,0.365,0.045,0
20240308,13604.0,N,0.267,0.00233,0
20240315,13606.0,N,0.154,0.0,0
20240321,13616.0,N,0.246,0.001,0
20240323,13617.0,N,0.375,0.007,0
20240327,13622.0,N,0.255,0.0,0
20240328,13619.0,N,0.289,0.011,0
20240329,13619.0,N,0.308,0.0045,0
20240329,13620.0,N,0.113,0.0,0
20240330,13619.0,N,0.313,0.00713,0
20240409,13633.0,N,0.336,0.0199,0
20240414,13636.0,N,0.331,0.0,0
20240417,13641.0,N,0.222,0.0,0
20240419,13641.0,N,0.236,0.001,0
20240425,13657.0,N,0.268,0.00349,0
20240428,13657.0,N,0.206,0.135,0
20240430,13660.0,N,0.177,0.00183,0
20240503,13663.0,X,0.808,1.0,1
20240504,13663.0,M,0.979,1.0,1
20240507,13667.0,N,0.293,0.012,0
20240515,13679.0,C,0.534,0.04149,0
20240518,13682.0,N,0.288,0.01649,0
20240519,13682.0,N,0.272,0.0145,0
20240520,13686.0,C,0.787,0.04611,0
20240521,13684.0,N,0.242,0.0025,0
20240524,13689.0,N,0.265,0.002,0
20240525,13686.0,C,0.524,0.06333,0
20240526,13690.0,N,0.232,0.0,0
20240529,13696.0,N,0.13,0.0,0
20240531,13697.0,X,0.893,0.19239,1
20240602,13695.0,N,0.661,0.09178,0
